/proc/oppoVersion/prjVersion,/proc/oppoVersion/operatorName,/proc/oppoVersion/ramSize,project
18121,1,4G,18121
18121,2,4G,18122
18511,3,2G,18511
18511,4,2G,18512
18511,5,2G,18513
18511,6,3G,18514
18511,6,4G,18514
18511,7,3G,18515
18511,8,3G,18516
18511,8,4G,18516
18511,14,3G,18517
18511,13,3G,18518
18511,11,3G,18519
18511,15,3G,18508
18511,16,3G,18509
18511,17,3G,18520
18510,12,3G,18510
18510,12,4G,18510
18511,23,2G,18511
18511,24,2G,18512
18511,25,2G,18513
18511,26,3G,18514
18511,26,4G,18514
18511,27,3G,18515
18511,28,3G,18516
18511,28,4G,18516
18511,34,3G,18517
18511,33,3G,18518
18511,35,3G,18508
18511,36,3G,18509
18511,37,3G,18520
